名称,IP,端口,备注
001车,20.15.1.2,50002,VOBC
002车,20.15.2.2,50002,VOBC
003车,20.15.3.2,50002,VOBC
004车,20.15.4.2,50002,VOBC
005车,20.15.5.2,50002,VOBC
006车,20.15.6.2,50002,VOBC
007车,20.15.7.2,50002,VOBC
008车,20.15.8.2,50002,VOBC
009车,20.15.9.2,50002,VOBC
010车,20.15.10.2,50002,VOBC
011车,20.15.11.2,50002,VOBC
012车,20.15.12.2,50002,VOBC
013车,20.15.13.2,50002,VOBC
014车,20.15.14.2,50002,VOBC
015车,20.15.15.2,50002,VOBC
016车,20.15.16.2,50002,VOBC
001车,20.15.1.2,50003,VOBC
002车,20.15.2.2,50003,VOBC
003车,20.15.3.2,50003,VOBC
004车,20.15.4.2,50003,VOBC
005车,20.15.5.2,50003,VOBC
006车,20.15.6.2,50003,VOBC
007车,20.15.7.2,50003,VOBC
008车,20.15.8.2,50003,VOBC
009车,20.15.9.2,50003,VOBC
010车,20.15.10.2,50003,VOBC
011车,20.15.11.2,50003,VOBC
012车,20.15.12.2,50003,VOBC
013车,20.15.13.2,50003,VOBC
014车,20.15.14.2,50003,VOBC
015车,20.15.15.2,50003,VOBC
016车,20.15.16.2,50003,VOBC
停车场ZC,20.28.37.2,50003,ZC
星城ZC,20.28.11.2,50003,ZC
阎村北ZC,20.28.25.2,50003,ZC
联锁机停车场,20.28.37.20,50002,CI
联锁机阎村北,20.28.25.20,50002,CI
联锁机阎村,20.28.21.20,50002,CI
联锁机星城,20.28.19.20,50002,CI
连锁机顾八路,20.28.15.20,50002,CI
连锁机燕化,20.28.11.20,50002,CI
