捕获时间,间隔,源IP,源端口,目的IP,目的端口,消息内容
2017/12/8 14:33:13,2.702653,20.28.11.20,50002,20.15.7.2,50002,01 80 09 00 10 00 9B 62 C5 00 36 00 6E A0 12 A9 50 4C 5F DB 3C 06 14 07 02 FF FF AA 00 FF FF FF FF FF FF FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 AA AA 00 00 00 00 00 00 00 00 DD CE 
2017/12/8 14:37:32,3.0007799,20.28.25.20,50002,20.15.11.2,50002,01 80 02 00 14 00 39 63 C5 00 36 00 C4 BC 8D 39 27 40 2B 4D 3C 02 14 0B 02 FF FF AA 00 FF FF FF FF FF FF FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 AA AA 00 00 00 00 00 00 00 00 77 1F 
2017/12/8 14:41:47,2.6983391,20.28.11.20,50002,20.15.4.2,50002,01 80 09 00 0D 00 4E 69 C5 00 36 00 79 59 C8 93 3D AC F1 8B 3C 06 14 04 02 FF FF AA 00 FF FF FF FF FF FF FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 AA AA 00 00 00 00 00 00 00 00 3E CF 
2017/12/8 14:45:19,2.6941258,20.28.25.20,50002,20.15.10.2,50002,01 80 02 00 13 00 4D 69 C5 00 36 00 67 00 0E 05 61 FA 4A D1 3C 02 14 0A 02 FF FF AA 00 FF FF FF FF FF FF FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 AA AA 00 00 00 00 00 00 00 00 3D 32 
2017/12/8 14:49:45,2.6999627,20.28.11.20,50002,20.15.9.2,50002,01 80 09 00 12 00 86 6F C5 00 36 00 25 81 FA 90 18 65 10 C3 3C 06 14 09 02 FF FF AA 00 FF FF FF FF FF FF FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 AA AA 00 00 00 00 00 00 00 00 59 60 
2017/12/8 14:53:33,2.7032307,20.28.25.20,50002,20.15.16.2,50002,01 80 02 00 19 00 BC 6F C5 00 36 00 49 6C 97 04 C2 B9 3C 7D 3C 02 14 10 02 FF FF AA 00 FF FF FF FF FF FF FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 AA AA 00 00 00 00 00 00 00 00 63 B9 
2017/12/8 14:57:11,6.7280309,20.15.9.2,50002,20.28.15.20,50002,01 80 12 00 05 00 54 13 03 00 2A 00 E4 E6 BA 7F F9 33 A0 DE 14 09 3C 05 02 00 06 00 FF FF 00 01 00 00 00 00 00 00 00 00 AA AA AA AA FF FF FF FF FF FF FF FF FF FF CD F7 
2017/12/8 14:57:11,6.8462435,20.28.37.20,50002,20.15.13.2,50002,01 80 01 00 16 00 3E 83 C5 00 36 00 67 70 32 5F BF D0 4E FF 3C 01 14 0D 02 FF FF AA 00 FF FF FF FF FF FF FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 AA AA 00 00 00 00 00 00 00 00 5D A2 
2017/12/8 14:57:11,6.8462435,20.28.37.20,50002,20.15.1.2,50002,01 80 01 00 0A 00 3E 83 C5 00 36 00 54 67 00 CF 9E 3A 2A A0 3C 01 14 01 02 FF FF AA 00 FF FF FF FF FF FF FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 AA AA 00 00 00 00 00 00 00 00 B0 19 
2017/12/8 14:57:11,6.8306166,20.28.37.20,50002,20.15.5.2,50002,01 80 01 00 0E 00 3E 83 C5 00 36 00 8F AB 75 3D A8 72 E2 32 3C 01 14 05 02 FF FF AA 00 FF FF FF FF FF FF FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 AA AA 00 00 00 00 00 00 00 00 5E B6 
